Blend,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall Rating,Coffee Beans,AvgPrice
Morning Mist,8.5,8.3,8.4,8.1,8.2,8.4,8.5,8.3,8.4,8.3,Arabica,2.99
Bold Awakening,7.0,6.8,7.2,7.5,7.6,7.4,7.6,7.5,7.3,7.3,Robusta,1.79
Velvet Harmony,8.2,8.0,8.1,7.9,8.1,8.0,8.2,8.0,8.0,8.1,Excelsa,3.49
Smooth Serenade,9.0,8.8,9.0,8.7,8.9,8.6,8.8,8.9,8.6,8.8,Liberica,4.99
Mellow Sunrise,6.5,6.7,6.8,6.9,7.2,6.6,6.8,6.6,6.7,6.7,Arabica,2.25
Robust Awakening,7.8,7.5,7.4,8.0,7.6,7.4,7.5,7.3,7.7,7.5,Robusta,1.65
Exquisite Blend,9.2,9.0,9.1,9.0,8.7,8.9,8.9,9.0,9.1,8.9,Excelsa,4.79
Lively Symphony,8.4,8.2,8.5,8.0,8.4,8.4,8.5,8.3,8.2,8.4,Liberica,3.99
Arabian Nights,7.8,7.9,7.6,7.4,7.6,7.5,7.7,7.8,7.7,7.7,Arabica,2.49
Robust Rhythm,6.5,6.3,6.7,7.1,6.9,6.6,6.8,6.5,6.6,6.6,Robusta,1.75
Elegant Excelsa,8.3,8.1,8.2,7.7,8.0,8.1,8.3,8.1,8.2,8.1,Excelsa,3.29
Cherry Blossom,7.6,7.5,7.4,7.6,7.8,7.4,7.6,7.7,7.5,7.5,Arabica,2.79
Robust Delight,7.2,7.0,7.4,7.8,7.5,7.3,7.5,7.3,7.7,7.4,Robusta,1.95
Silken Symphony,8.7,8.6,8.8,8.5,8.7,8.6,8.6,8.8,8.5,8.6,Liberica,4.59
Morning Dew,7.0,6.8,7.1,6.9,7.1,6.7,6.9,6.7,7.0,6.8,Arabica,2.15
Robust Essence,6.8,6.6,6.5,7.2,7.0,6.7,6.7,6.4,6.8,6.6,Robusta,1.85
Exquisite Symphony,9.1,9.0,9.2,8.9,8.8,8.8,9.0,8.9,8.9,8.9,Excelsa,4.99
Velvet Elixir,8.3,8.2,8.4,7.9,8.1,8.2,8.4,8.2,8.2,8.3,Excelsa,3.99
Gentle Breeze,7.4,7.6,7.3,7.5,7.6,7.4,7.5,7.7,7.5,7.5,Arabica,2.69
Robust Escape,6.9,6.7,6.8,7.4,7.2,6.9,6.8,6.6,6.8,6.8,Robusta,1.95
Liberica Harmony,8.1,8.0,8.2,7.8,8.0,8.0,8.2,8.1,8.0,8.1,Liberica,3.49
Misty Mornings,7.8,7.9,7.6,7.4,7.7,7.5,7.7,7.8,7.6,7.7,Arabica,2.59
Robust Reverie,6.7,6.6,6.5,7.2,7.0,6.8,6.6,6.4,6.7,6.6,Robusta,1.85
Excelsa Symphony,8.6,8.5,8.7,8.3,8.5,8.4,8.5,8.6,8.4,8.5,Excelsa,3.99
